avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
6.6,71.0,204.0,312.0,79,64.0, 1110707, 16322067
5.6,44.0,104.0,44.0,25,28.0, 16209459, 16209459
5.6,44.0,104.0,44.0,100,81.0, 16209459, 16209459
6.0,,25.0,16.0,40,34.0, 6985999, 6985999
6.6,36.0,254.0,78.0,37,66.0, 30050028, 30050028
7.3,80.0,545.0,200.0,94,86.0, 134451603, 300451603
8.2,98.0,256.0,94.0,100,93.0, 215295, 215295
6.0,,18.0,8.0,93,87.0, 19928200, 19928200
8.5,88.0,1077.0,569.0,93,94.0, 13092000, 48982041
6.2,37.0,187.0,129.0,97,78.0, 7221458, 9450897
5.8,31.0,154.0,41.0,9,53.0, 58853106, 58853106
5.8,,4.0,3.0,93,74.0, 175232, 175232
5.9,32.0,100.0,57.0,43,33.0, 18626419, 18626419
5.9,32.0,100.0,57.0,34,34.0, 18626419, 18626419
6.4,43.0,148.0,45.0,39,47.0, 20563273, 20563273
6.4,43.0,148.0,45.0,48,67.0, 20563273, 20563273
7.3,55.0,847.0,505.0,39,47.0, 144840419, 353641895
7.3,55.0,847.0,505.0,48,67.0, 144840419, 353641895
5.6,42.0,91.0,68.0,93,48.0, 51708, 499620
5.6,42.0,91.0,68.0,23,47.0, 51708, 499620
5.8,39.0,312.0,200.0,33,90.0, 38052832, 102952888
5.6,51.0,92.0,40.0,95,63.0, 50632037, 50632037
5.6,51.0,92.0,40.0,55,40.0, 50632037, 50632037
7.3,74.0,108.0,29.0,88,80.0, 31181347, 31181347
6.2,42.0,138.0,64.0,17,48.0, 7073251, 13414416
8.2,98.0,358.0,128.0,100,94.0, 63463, 150438
6.2,46.0,181.0,48.0,61,81.0, 40713082, 50444358
6.0,61.0,208.0,83.0,89,70.0, 70770147, 150270147
6.0,61.0,208.0,83.0,53,44.0, 70770147, 150270147
5.8,46.0,286.0,109.0,24,56.0, 138614544, 190538630
5.8,46.0,286.0,109.0,80,66.0, 138614544, 190538630
7.6,66.0,665.0,239.0,76,85.0, 14378331, 27200316
6.4,52.0,124.0,91.0,100,78.0, 38399961, 43343247
6.4,52.0,124.0,91.0,56,67.0, 38399961, 43343247
7.1,77.0,115.0,71.0,91,72.0, 35509515, 35509515
7.1,77.0,115.0,71.0,90,82.0, 35509515, 35509515
8.2,98.0,319.0,137.0,98,93.0, 46808, 46808
6.0,,22.0,20.0,63,41.0, 10068039, 10068039
6.5,42.0,63.0,75.0,36,81.0, 4288, 1257142
6.5,42.0,63.0,75.0,33,38.0, 4288, 1257142
5.5,40.0,747.0,281.0,95,87.0, 79366978, 233093859
5.5,40.0,747.0,281.0,21,27.0, 79366978, 233093859
6.8,58.0,120.0,64.0,79,59.0, 46236000, 46236000
6.8,58.0,120.0,64.0,88,70.0, 46236000, 46236000
7.4,78.0,181.0,76.0,94,83.0, 12408986, 12408986
6.0,47.0,75.0,49.0,48,33.0, 1020656, 1384395
5.5,31.0,235.0,158.0,20,51.0, 36931089, 57719093
7.4,85.0,533.0,179.0,92,77.0, 33800000, 33800000
7.4,85.0,533.0,179.0,50,44.0, 33800000, 33800000
5.9,53.0,423.0,373.0,92,77.0, 35266619, 84790678
5.9,53.0,423.0,373.0,50,44.0, 35266619, 84790678
8.1,85.0,913.0,225.0,93,93.0, 24611975, 60611975
6.8,55.0,76.0,20.0,47,66.0, 22836, 92654
5.5,28.0,492.0,166.0,15,37.0, 30113491, 68349884
6.6,,125.0,50.0,45,55.0, 36000000, 36000000
6.8,60.0,147.0,106.0,88,83.0, 8384929, 18009625
6.8,60.0,147.0,106.0,57,72.0, 8384929, 18009625
6.5,,45.0,11.0,45,82.0, 4572845, 4572845
4.4,31.0,61.0,40.0,11,34.0, 16093651, 16093651
8.3,99.0,619.0,150.0,100,95.0, 1826108, 1864182
6.1,42.0,67.0,59.0,17,60.0, 40852824, 62812974
6.1,42.0,67.0,59.0,42,71.0, 40852824, 62812974
7.5,,90.0,37.0,100,84.0, 24476, 24476
5.6,25.0,93.0,149.0,16,41.0, 32680633, 43042835
6.6,81.0,803.0,314.0,91,66.0, 1214525, 1524880
7.6,85.0,167.0,116.0,92,84.0, 36416, 36416
6.7,47.0,535.0,121.0,56,69.0, 14589444, 30381722
7.1,,132.0,72.0,95,72.0, 23750000, 23750000
7.1,,132.0,72.0,26,42.0, 23750000, 23750000
5.3,41.0,590.0,230.0,95,72.0, 32064800, 68766121
5.3,41.0,590.0,230.0,26,42.0, 32064800, 68766121
6.2,42.0,376.0,308.0,64,60.0, 34343574, 220021259
6.2,42.0,376.0,308.0,23,36.0, 34343574, 220021259
5.5,,72.0,66.0,82,55.0, 4884663, 4884663
5.5,,72.0,66.0,36,33.0, 4884663, 4884663
7.5,91.0,32.0,40.0,93,87.0, 29505, 162373
7.1,69.0,382.0,336.0,69,70.0, 2434652, 9468530
6.1,,65.0,33.0,46,62.0, 15339030, 15339030
6.8,38.0,288.0,214.0,46,62.0, 27288872, 54418872
6.7,,80.0,43.0,33,69.0, 36000000, 36000000
5.8,39.0,71.0,63.0,26,40.0, 15325127, 15471969
5.8,39.0,71.0,63.0,47,28.0, 15325127, 15471969
6.3,,48.0,19.0,42,52.0, 25816139, 25816139
6.3,,68.0,48.0,48,40.0, 25205460, 25205460
5.6,22.0,145.0,163.0,12,51.0, 67061228, 136333522
7.7,63.0,174.0,45.0,92,87.0, 21750000, 21750000
8.2,75.0,325.0,105.0,89,92.0, 12562, 18816
6.0,62.0,88.0,44.0,50,41.0, 57387516, 66673516
6.8,58.0,1026.0,208.0,53,74.0, 144533925, 207284863
6.0,39.0,220.0,204.0,38,45.0, 83911193, 196710396
6.0,39.0,220.0,204.0,25,57.0, 83911193, 196710396
5.3,53.0,104.0,209.0,34,25.0, 92181, 713616
8.4,100.0,759.0,145.0,100,95.0, 36764313, 37032034
6.3,56.0,130.0,47.0,92,89.0, 53672080, 53672080
6.3,56.0,130.0,47.0,65,64.0, 53672080, 53672080
8.3,94.0,1057.0,283.0,98,93.0, 28262574, 28441292
7.1,65.0,168.0,44.0,67,74.0, 10827816, 10827816
5.5,39.0,198.0,84.0,57,22.0, 35419122, 36599361
5.5,39.0,198.0,84.0,32,70.0, 35419122, 36599361
7.3,78.0,122.0,125.0,93,80.0, 93602326, 93933394
6.2,56.0,407.0,194.0,100,87.0, 39799191, 76665191
6.2,56.0,407.0,194.0,54,43.0, 39799191, 76665191
7.7,87.0,311.0,157.0,96,88.0, 199963, 199963
6.9,50.0,455.0,181.0,55,83.0, 179800601, 356830601
6.1,,47.0,23.0,47,41.0, 10555348, 10555348
7.1,61.0,202.0,66.0,90,78.0, 58406347, 139804348
7.1,61.0,202.0,66.0,85,77.0, 58406347, 139804348
6.8,,133.0,35.0,71,57.0, 42000000, 42000000
6.8,,133.0,35.0,32,34.0, 42000000, 42000000
5.9,49.0,195.0,181.0,71,57.0, 24008137, 72178895
5.9,49.0,195.0,181.0,32,34.0, 24008137, 72178895
5.9,35.0,73.0,67.0,7,36.0, 32917, 4395707
5.9,35.0,73.0,67.0,71,55.0, 32917, 4395707
5.4,40.0,154.0,177.0,21,38.0, 63285885, 78844582
6.7,56.0,298.0,183.0,43,64.0, 36793804, 69787394
6.0,,36.0,31.0,75,38.0, 6400000, 6400000
7.6,84.0,176.0,110.0,95,87.0, 177909, 177909
7.8,78.0,433.0,68.0,93,93.0, 26979166, 26979166
7.4,75.0,198.0,192.0,98,85.0, 24946533, 24946533
7.4,75.0,198.0,192.0,93,81.0, 24946533, 24946533
4.4,29.0,59.0,29.0,96,83.0, 11993021, 11993021
